"","id","year","active_year","date_prec","date_start","date_end","event_prec","conflict_id","conflict_name","side_a_id","side_a_name","side_b_id","side_b_name","location_prec","latitude","longitude","deaths_side_a","deaths_side_b","deaths_civilians","deaths_unknown","deaths_total","deaths_high","deaths_low"
"867","49704",2000,TRUE,"1",2000-08-11,2000-08-11,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"868","49524",2000,TRUE,"1",2000-08-14,2000-08-14,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","2",21.6,97.533333,0,0,1,0,1,1,1
"869","51003",2000,TRUE,"1",2000-08-15,2000-08-15,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,2,0,2,2,2
"870","50891",2000,TRUE,"1",2000-08-20,2000-08-20,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,1,0,1,1,1
"871","49377",2000,TRUE,"1",2000-08-28,2000-08-28,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",16.25,97.75,0,0,1,0,1,1,1
"872","51040",2000,TRUE,"1",2000-08-28,2000-08-28,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,3,0,3,3,3
"873","78167",2000,TRUE,"4",2000-09-01,2000-09-30,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"874","48689",2000,TRUE,"1",2000-09-03,2000-09-03,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","1",19.47545,97.137222,0,0,3,0,3,3,3
"875","51152",2000,TRUE,"1",2000-09-10,2000-09-10,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,3,0,3,3,3
"876","49025",2000,TRUE,"1",2000-09-15,2000-09-15,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","2",16.038403,98.118161,0,0,1,0,1,1,1
"877","49918",2000,TRUE,"1",2000-09-16,2000-09-16,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"878","49513",2000,TRUE,"1",2000-09-21,2000-09-21,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.516667,97.866667,0,0,1,0,1,1,1
"879","49073",2000,TRUE,"1",2000-09-24,2000-09-24,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","2",21.271831,97.669144,0,0,1,0,1,1,1
"880","51145",2000,TRUE,"1",2000-09-25,2000-09-25,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,1,0,1,1,1
"881","49392",2000,TRUE,"1",2000-09-29,2000-09-29,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",16.25,97.75,0,0,1,0,1,1,1
"882","77583",2000,TRUE,"4",2000-10-01,2000-10-31,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","1",21.102417,98.111969,0,0,2,0,2,2,2
"883","78154",2000,TRUE,"4",2000-10-01,2000-10-31,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,1,0,1,1,1
"884","78168",2000,TRUE,"4",2000-10-01,2000-10-31,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"885","50121",2000,TRUE,"1",2000-10-05,2000-10-05,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.89184,97.71672,0,0,1,0,1,1,1
"886","50461",2000,TRUE,"1",2000-10-10,2000-10-10,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.4475,99.880833,0,0,2,0,2,2,2
"887","49739",2000,TRUE,"1",2000-10-14,2000-10-14,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"888","51070",2000,TRUE,"1",2000-10-19,2000-10-19,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,1,0,1,1,1
"889","51116",2000,TRUE,"1",2000-10-19,2000-10-19,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,2,0,2,2,2
"890","49390",2000,TRUE,"1",2000-10-23,2000-10-23,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",16.25,97.75,0,0,2,0,2,2,2
"891","50041",2000,TRUE,"1",2000-10-30,2000-10-30,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",12.416667,99.05,0,0,2,0,2,2,2
"892","78153",2000,TRUE,"4",2000-11-01,2000-11-30,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,1,0,1,1,1
"893","50977",2000,TRUE,"1",2000-11-11,2000-11-11,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,1,0,1,1,1
"894","49735",2000,TRUE,"1",2000-11-15,2000-11-15,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"895","48626",2000,TRUE,"4",2000-11-20,2000-11-30,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","7",10.279447,96.644872,0,0,15,0,15,15,15
"896","51342",2000,TRUE,"1",2000-11-25,2000-11-25,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","2",18.864067,96.949847,0,0,2,0,2,2,2
"897","51399",2000,TRUE,"1",2000-11-25,2000-11-25,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,2,0,2,2,2
"898","50494",2000,TRUE,"1",2000-11-27,2000-11-27,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",13,98.75,0,0,2,0,2,2,2
"899","49736",2000,TRUE,"1",2000-11-29,2000-11-29,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"900","50105",2000,TRUE,"1",2000-12-11,2000-12-11,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.89184,97.71672,0,0,1,0,1,1,1
"901","49414",2000,TRUE,"1",2000-12-26,2000-12-26,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.533333,99.25,0,0,1,0,1,1,1
"902","50795",2000,TRUE,"4",2000-11-24,2000-12-10,"2",4784,"MDA - MDA - LM",830,"MDA",831,"MDA - LM","4",22,98,0,1,0,69,70,250,70
"903","49977",2000,TRUE,"4",2000-02-01,2000-02-28,"2",11475,"Myanmar (Burma): Nagaland",144,"Government of Myanmar (Burma)",224,"NSCN-K","4",23.5,95.5,40,0,0,0,40,40,40
"904","50622",2001,TRUE,"1",2001-03-06,2001-03-06,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","2",15.969094,97.730756,4,0,0,0,4,4,4
"905","48853",2001,TRUE,"1",2001-05-04,2001-05-04,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,6,0,0,0,6,6,6
"906","48899",2001,TRUE,"1",2001-05-25,2001-05-25,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,0,0,2,0,2,2,2
"907","49042",2001,TRUE,"1",2001-10-29,2001-10-29,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","1",16.136536,98.36185,0,0,0,2,2,2,2
"908","48788",2001,TRUE,"1",2001-12-26,2001-12-26,NA,221,"Myanmar (Burma): Karen",144,"Government of Myanmar (Burma)",180,"KNU","4",17.5,97.75,0,0,2,0,2,2,2
"909","49536",2001,FALSE,"1",2001-03-21,2001-03-21,NA,231,"Myanmar (Burma): Kachin",144,"Government of Myanmar (Burma)",201,"KIO","5",23.979167,97.904722,0,4,0,0,4,4,4
"910","50393",2001,FALSE,"1",2001-03-21,2001-03-21,NA,231,"Myanmar (Burma): Kachin",144,"Government of Myanmar (Burma)",201,"KIO","4",22,98,0,5,2,0,7,7,7
"911","49805",2001,FALSE,"1",2001-02-04,2001-02-04,NA,253,"Myanmar (Burma): Karenni",144,"Government of Myanmar (Burma)",225,"KNPP","6",22,98,5,0,0,0,5,5,5
"912","48724",2001,FALSE,"1",2001-02-28,2001-02-28,NA,253,"Myanmar (Burma): Karenni",144,"Government of Myanmar (Burma)",225,"KNPP","4",19.25,97.5,5,0,0,0,5,5,5
"913","48750",2001,FALSE,"1",2001-09-23,2001-09-23,NA,253,"Myanmar (Burma): Karenni",144,"Government of Myanmar (Burma)",225,"KNPP","4",19.25,97.5,11,0,0,0,11,11,11
"914","50581",2001,TRUE,"1",2001-02-05,2001-02-05,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",20.001944,99.0525,6,0,0,0,6,6,6
"915","50320",2001,TRUE,"2",2001-02-08,2001-02-09,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","4",22,98,8,2,0,0,10,10,10
"916","50586",2001,TRUE,"1",2001-02-09,2001-02-09,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",20.001944,99.0525,1,0,0,0,1,1,1
"917","50467",2001,TRUE,"1",2001-02-21,2001-02-21,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",20.4475,99.880833,1,0,0,0,1,1,1
"918","50585",2001,TRUE,"1",2001-02-21,2001-02-21,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",20.001944,99.0525,10,0,0,0,10,10,10
